City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
344,Gadung,PH,78.85,overcast clouds,6.8025,124.02,
345,Yenagoa,NG,78.51,scattered clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
346,Mitsamiouli,KM,81.28,broken clouds,-11.3847,43.2844,Foyer ADM
347,Raga,SS,78.03,broken clouds,8.4596,25.678,
351,Port Moresby,PG,76.42,few clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
354,Muli,MV,84.04,broken clouds,2.9167,73.5667,Medhufushi Island Resort
355,Ganzhou,CN,70.99,broken clouds,28.8184,115.4327,Zhanqian Grand Hotel
357,Cam Ranh,VN,78.76,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
358,Kailua,US,84.18,overcast clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
359,Maumere,ID,78.39,overcast clouds,-8.6199,122.2111,Sylvia Hotel
367,Jalu,LY,79.74,broken clouds,29.0331,21.5482,صاحبة الفخامة
368,Cidreira,BR,72.81,heavy intensity rain,-30.1811,-50.2056,Hotel Castelo
369,Calama,CL,72.09,clear sky,-22.4667,-68.9333,Park Hotel Calama
371,Luanda,AO,77.0,few clouds,-8.8368,13.2343,EPIC SANA Luanda
373,Latung,PH,82.54,broken clouds,5.5,120.8833,
374,Lompoc,US,88.79,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
382,Araxa,BR,76.96,clear sky,-19.5933,-46.9406,Plaza Inn Flat Araxá
384,Silver City,US,75.92,clear sky,32.7701,-108.2803,Copper Manor Motel
386,Hambantota,LK,77.34,few clouds,6.1241,81.1185,Bungalow 63
387,Kulachi,PK,81.84,clear sky,31.9286,70.4592,Technical Zafran Mobile Zon kulachi
388,Balkanabat,TM,72.81,overcast clouds,39.5108,54.3671,Nebitchi Hotel
390,Santa Fe,AR,76.01,broken clouds,-31.6333,-60.7,Conquistador Hotel
393,Salalah,OM,82.49,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
394,Makakilo City,US,82.72,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
395,Acarau,BR,78.93,scattered clouds,-2.8856,-40.12,castelo pizzaria
402,Atar,MR,82.27,clear sky,20.5169,-13.0499,Oumou Elghoura
403,Vao,NC,74.84,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
404,Luwuk,ID,77.52,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
405,Kiunga,PG,73.85,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
406,Corrente,BR,74.73,overcast clouds,-3.7367,-43.3394,Chapadinhense Hotel
408,Saint-Pierre,RE,74.88,broken clouds,-21.3393,55.4781,Lindsey Hôtel
410,Angoche,MZ,77.13,light rain,-16.2325,39.9086,Guest House HESADA
411,Alofi,NU,80.49,overcast clouds,-19.0595,-169.9187,Taloa Heights
413,Grand-Santi,GF,77.5,heavy intensity rain,4.25,-54.3833,Hotel La Villa Couacou
414,Nampa,US,75.31,clear sky,43.5407,-116.5635,Nampa Downtown
416,Conde,BR,78.26,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
417,Caucaia,BR,83.03,scattered clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
419,Baihar,IN,80.2,clear sky,22.1,80.55,T3 RESORT & RESEARCH CENTRE
422,Araceli,PH,83.03,overcast clouds,10.5529,119.9913,JBryan Traveler's Inn
